,section_title,raw_text
42,Key contact,"6.18  The key contact is usually the person who acts as the main contact between 
us and you. We will contact them if we have any queries about your sponsor 
licence application, the documents sent or the payment. We may also contact 
your authorising officer if necessary. 
6.19  The key contact does not have automatic access to the SMS. If they require 
access to the system, they will need to be set up as a level 1 or level 2 user. 
This can be done by naming them as the level 1 user on your application, or 
adding them as an additional level 1 user or as a level 2 user after your licence 
has been granted. 
 
 
"
43,Level 1 user,"6.20  The level 1 user can be the authorising officer or another person in your 
organisation. 
the SMS. 
 
6.21  The level 1 user must carry out your day-to-day sponsorship activities using 
 
6.22  When you first apply for a sponsor licence, you can only nominate one level 1 
user and they must be an employee, director or partner. Once you have a 
licence you can use the SMS to nominate more level 1 users. We will perform 
checks on new level 1 users before we give them access to the SMS. These 
include checks against our records and the police national computer, or its 
equivalent in Northern Ireland. 
 
Page 43 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
6.23  You can decide how many level 1 users you need. The authorising officer is 
responsible for their conduct, so we recommend that you do not have more 
level 1 users than you really need. You should make sure that you have at 
least enough to be able to cover periods of leave or sickness. 
 
6.24  The level 1 user must be one of the following: 
 
•  a paid staff member or office holder within your organisation  
•  an employee of a third-party organisation engaged by you to deliver all or 
part of your HR function  
•  a UK-based representative 
 
They must not be: 
•  a contractor 
•  a consultant who is contracted for a specific project 
•  a temporary staff member supplied to you by an employment agency  
•  an undischarged bankrupt 
 
6.25  You must always have a minimum of one level 1 user who is a settled worker. 
The only exceptions to this rule are: 
 
•  if you are a diplomatic mission or international organisation licensed under 
the Tier 5 (Temporary Worker) International Agreement subcategory 
•  if your authorising officer is a person with valid leave as: 
o  a Representative of an Overseas Business 
o  a Tier 1 (Graduate Entrepreneur) migrant 
o  a Tier 1 (Entrepreneur) migrant 
o  a Tier 1 (Exceptional Talent) migrant 
o  a Start-up migrant 
o  an Innovator 
o  a Global Talent migrant 
 
 
6.26  You must have at least one level 1 user in place. This is because it is 
impossible for you to meet all of your sponsor duties without one. If we find 
you do not have any level 1 users in place, we will take action against you. 
From 6 November 2014, new sponsors must have at least one level 1 user 
who is an employee. This is also best practice for existing sponsors. You can 
have more than one level 1 user, but at least one must be your employee. 
 
6.27  Level 1 users can perform the following actions in SMS:  
•  ask for more Level 1 users and add Level 2 users to the SMS or remove 
them  
•  assign CoS to workers 
•  ask for an increase in the number of CoS you can assign (your limit) 
•  tell us about minor changes to your details 
•  tell us of change of circumstances on the SMS 
Page 44 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
•  report worker activity to us, for example, inform us if a worker goes 
missing or does not come to work 
•  withdraw CoS 
•  tell us of changes to work addresses 
•  use the bulk data transfer feature 
•  change user details 
•  view information about your licence and key personnel 
•  access key messages that we post from time to time 
•  apply to renew your licence and track the progress of your application 
•  apply for premium customer service and track the progress of your 
application 
•  apply for Tier 2 and/or Tier 5 premium sponsor status and track the 
progress of your application 
 
"
44,Level 2 user,"6.28  Level 2 users have fewer permissions than level 1 users. Level 2 users can 
perform the following actions in SMS: 
 
•  assign CoS to workers 
•  report worker activity to us, for example, inform us if a worker goes 
missing or does not come to work 
 
6.29  You can decide how many level 2 users you need. The authorising officer is 
responsible for them, so we recommend that you do not have more level 2 
users than you really need. 
 
6.30  Level 2 user may be: 
 
•  a paid staff member or office holder within your organisation 
•  an employee of a third-party organisation engaged by you to deliver all or 
part of your HR function 
•  a temporary staff member supplied to you by an employment agency  
•  a UK-based representative 
They must not be: 
•  a contractor 
•  a consultant who is contracted for a specific project 
•  an undischarged bankrupt 
 
Related content 
Contents 
Page 45 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
7. 
7  Criteria 
 
Eligibility criteria 
7.1 
All applications for a sponsor licence must meet the following eligibility and 
suitability criteria. 
To confirm that you are eligible for a licence, you must provide the supporting 
documents listed in Appendix A of the guidance for sponsors and any more 
documents we request. 
 
7.2  We verify these documents to make sure you are genuine and have an 
operating or trading presence in the UK. If you have no operating or trading 
presence in the UK, we will refuse your application. If we find that you have no 
operating or trading presence in the UK after granting a licence, we will revoke 
it. 
 
Suitability criteria 
7.3 
The suitability criteria determine whether we grant or refuse your application, 
change the rating of an existing licence or revoke an existing licence. It may 
also affect the limits and review points we set for certificates of sponsorship 
(CoS) that you can assign. 
 
7.4 
To assess suitability criteria, we look at whether: 
 
•  you have human resource and recruitment systems in place to meet, or 
continue to meet your sponsor duties - we may judge this by visiting you 
either before or after your licence is granted 
•  we are able to visit and conduct checks to ensure that the sponsor duties 
are being complied with on an immediate, unannounced basis; this 
includes checks at any physical addresses where your sponsored 
employees (would) carry out their employment duties - if access to a third 
party’s site is deemed necessary by us (either at application stage or later 
as part of compliance checks), we would need to see evidence of 
arrangements between you and the third party that would ensure full 
cooperation by the third party 
•  you can offer a genuine vacancy which meets the criteria of the category 
you are applying to be licensed for; this may mean that if your business 
involves operating no (or little) physical office space (a ‘virtual business 
model’), we will consider the type of work a sponsored worker will be 
doing and where the worker will be carrying out their employment duties - 
we may wish to see contracts between you and any third party   
•  you have an unspent criminal conviction for a relevant offence - Annex 1 
and Annex 5 of this guidance have more information on this 
•  we have any evidence of previous non-compliance by you  
 
7.5  You must tell us on the covering letter accompanying your submission sheet if 
any of the following apply to you, under the general definition of ‘you’ or ‘your’, 
if you: 
Page 46 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
45,Criteria,
46,Eligibility criteria,"7.1 
All applications for a sponsor licence must meet the following eligibility and 
suitability criteria. 
To confirm that you are eligible for a licence, you must provide the supporting 
documents listed in Appendix A of the guidance for sponsors and any more 
documents we request. 
 
7.2  We verify these documents to make sure you are genuine and have an 
operating or trading presence in the UK. If you have no operating or trading 
presence in the UK, we will refuse your application. If we find that you have no 
operating or trading presence in the UK after granting a licence, we will revoke 
it. 
 
"
47,Suitability criteria,"7.3 
The suitability criteria determine whether we grant or refuse your application, 
change the rating of an existing licence or revoke an existing licence. It may 
also affect the limits and review points we set for certificates of sponsorship 
(CoS) that you can assign. 
 
7.4 
To assess suitability criteria, we look at whether: 
 
•  you have human resource and recruitment systems in place to meet, or 
continue to meet your sponsor duties - we may judge this by visiting you 
either before or after your licence is granted 
•  we are able to visit and conduct checks to ensure that the sponsor duties 
are being complied with on an immediate, unannounced basis; this 
includes checks at any physical addresses where your sponsored 
employees (would) carry out their employment duties - if access to a third 
party’s site is deemed necessary by us (either at application stage or later 
as part of compliance checks), we would need to see evidence of 
arrangements between you and the third party that would ensure full 
cooperation by the third party 
•  you can offer a genuine vacancy which meets the criteria of the category 
you are applying to be licensed for; this may mean that if your business 
involves operating no (or little) physical office space (a ‘virtual business 
model’), we will consider the type of work a sponsored worker will be 
doing and where the worker will be carrying out their employment duties - 
we may wish to see contracts between you and any third party   
•  you have an unspent criminal conviction for a relevant offence - Annex 1 
and Annex 5 of this guidance have more information on this 
•  we have any evidence of previous non-compliance by you  
 
7.5  You must tell us on the covering letter accompanying your submission sheet if 
any of the following apply to you, under the general definition of ‘you’ or ‘your’, 
if you: 
Page 46 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
7.7 
 
 
 
 
 
last 5 years  
•  have been suspended or removed from any sponsor register within the 
•  have any criminal prosecutions pending 
•  are aware that an organisation that you have been involved with in a 
similar role has failed to pay VAT or any other form of excise duty 
If you have a criminal prosecution pending, we will put your application on hold 
pending the outcome unless we have other reasons to refuse it, in which case, 
we will refuse it without waiting. 
"
48,Checks we make,"7.6  We use risk assessments to guide our compliance activity and focus that 
activity on the areas of highest risk. If we know little about you or are 
concerned with the evidence provided, we will make further checks including 
an on-site visit. We may also make relevant checks with other government 
departments. 
 
If you operate a virtual business model, it is highly likely that we will conduct 
an on-site visit to your authorising officer’s physical address before making a 
decision on your application for a licence. If we have significant doubts about 
your ability to fulfil your sponsorship duties after a visit, we may refuse your 
application. The ‘Compliance’ section has more information about compliance 
visits, including on-site visits. 
 
7.8  We may also conduct an on-site visit to any other physical addresses where 
your sponsored migrants would be carrying out their employment duties.  
7.9 
If there are differences between what you told us and what our compliance 
officer finds during a check and this is found before a decision has been made, 
we will let you know whether we need more information before making a final 
decision.  
7.10  We ask for a variety of verifiable documents to allow us to consider your 
application. These are all listed in Appendix A of the guidance for sponsors 
and we may check any or all of the documents you send to us. We reserve the 
right to ask for more documents at any time during the licence application 
process or the validity period of your licence and sometimes we may ask for 
other documents which are not listed in Appendix A. 
7.11  We make further checks in the following circumstances: 
 
•  quality assurance checks - we check a certain percentage of applications 
•  extra checks - if we have reasonable doubts about your application or the 
documents sent with your application 
 
Related content 
Contents 
Page 47 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
8. 
 
 
8.2 
 
 
8  Supporting evidence – documents 
Appendix A of the guidance for sponsors lists the evidence we will need from 
you to support your licence application. Most applications must be supported 
by a minimum of 4 pieces of evidence. Some of this evidence will be in the 
form of a document you must send to us and some will simply be an online 
check that we can do, without you having to send a document to us. Certain 
evidence is mandatory, in most cases we will only need a maximum of 4 
pieces of evidence, but we may ask for more if necessary. If you fail to send 
us any evidence or documents we ask for within the given time limit, your 
application will be refused. 
 
8.1  Over time, we will start to make more checks online and we are gradually 
updating Appendix A to show where we will make an online check instead of 
asking you to send us a document. Where we can conduct an online check, 
this will count as one piece of evidence. 
Example 
You are a charity, registered with the Charities Commission, applying for Tier 
2 (Sportsperson). In this example, you must send us 3 documents and we will 
conduct one online check. Grand total - 4 pieces of evidence. 
1.  Appendix A: Table 2 - we must have evidence of your charitable status, but 
we can check this online. This counts as one piece of evidence. 
 
2.  Appendix A: Table 3 - we must have evidence of your endorsement from 
the governing body for your sport. You must send us the relevant 
document. This counts as one piece of evidence. 
 
3.  Appendix A: Table 4 - you must choose 2 more pieces of evidence from 
Table 4 to bring your total to 4. 
 
If you are applying as a head office and all branches or a group of branches 
and you are required to be registered with and/or inspected/monitored by a 
regulatory body, you must send evidence for each individual branch within that 
group. 
 
Example 
You are a care home in England applying for Tier 2 (General) with 3 additional 
branches included in your application. In this example, there are 7 mandatory 
pieces of evidence - one online check on your Care Quality Commission 
(CQC) status, 3 documents from Table 4 and 3 additional online checks on the 
CQC status of the branches named on your application. 
1.  Appendix A, Table 2 - we must have evidence that you are inspected by 
the CQC. We will check this online, for each care home included in your 
application. This means we will do 4 online checks. 
Page 48 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
49,Supporting evidence – documents,
50,Certifying a document,"8.4 
 
The person certifying the documents must be: 
•  the issuing authority 
•  a practising barrister 
•  a solicitor 
•  a chartered legal executive  
•  a notary 
•  a chartered accountant for certification of financial documents only 
The person must not be: 
•  related to you 
•  living at the same address 
•  in a personal relationship with you 
•  employed directly by you 
The certifier must confirm the copy of the document by: 
•  writing ‘Certified to be a true copy of the original seen by me’ on the 
document 
•  signing and dating it 
•  printing their name under the signature 
•  adding their occupation, address and telephone number 
 
If a document has more than one page, we will accept the document if the 
pages are bound together and the certification statement includes the number 
of pages the document contains. If a certifier’s details cannot be verified, the 
document will be rejected.  
Printouts of PDF files are copies of an original document and must be 
certified in line with guidelines above. The certifier must confirm that they 
have seen the original email containing the file. 
Page 49 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
8.5  Any documents or other evidence that we ask to see that are not in English or 
Welsh must be accompanied by a certified translation. The translator’s 
credentials should be provided, along with their official confirmation that the 
translation is accurate. 
If you provide certified copies of documents and/or certified translations, we 
reserve the right to ask for the original documents. 
 
8.6  We make further checks if we have any doubts about whether you can meet 
the requirements of the category in which you have applied. We may email 
you to ask for more evidence or information. We always email the person you 
named as your key contact, but we may also email your authorising officer. 
 
8.7  Any documents you send to us will be returned by recorded delivery to the 
address given on your application. If you want the documents returned by 
special delivery, you must enclose a prepaid special delivery envelope. 
 
"
51,Standard procedure for verifying documents,"8.8  We may check details or the correctness or genuineness of documents: 
 
•  with the issuing organisation, like banks, universities and professional 
bodies 
•  with other government departments in the UK and overseas 
The procedure for verifying documents is:  
 
•  we use a standard format to record the results of enquiries to make sure 
we record feedback consistently 
•  if we cannot get an immediate answer to our enquiries, we will normally 
wait for a maximum of 3 weeks for the information 
•  we may decide that a compliance officer needs to visit you 
 
"
52,Outcome of document checks,"8.9 
 
There are 3 possible outcomes after a document check: 
•  document confirmed genuine - if we conclude the document is genuine, 
we will consider your application as normal 
•  document confirmed as false - if we conclude the document is false, we 
will refuse your application, whether or not the document is essential to 
your application 
•  check inconclusive - if we are unable to verify whether or not a document 
is genuine or false we will not use the document as evidence to support 
your application, we may ask for further supporting documents 
 
Related content 
Contents 
Page 50 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
9  Rating sponsors 
A sponsor licence can be rated either ‘A’ or ‘B’. 
 
What are sponsor ratings? 
9. 
 
9.1  An A-rating is awarded when you are first granted a licence on the basis that 
you have systems in place to be able to meet your sponsor duties. Your 
licence rating appears on the published register of licensed sponsors. We will 
not grant a licence if you are not able to achieve an A-rating. 
 
9.2  After your licence has been granted, if we find evidence that you are unable or 
unwilling to continue to meet your sponsor duties, or we have evidence of 
immigration abuse, we may take action against you.  
 
9.3  Your rating will usually be the same for all the tiers, categories and 
subcategories in which you are registered. In exceptional cases, if we later find 
that you are not meeting your sponsor duties in only one tier on your licence, 
we will downgrade that tier to a B-rating. The ‘Downgrading your licence rating’ 
section has more information. 
 
Scoring system 
9.4  When deciding the suitability of an application or when we carry out checks 
(including if we visit you) after your licence has been granted, we will use the 
following scoring system when deciding whether to grant your application for a 
licence. 
 
9.5  We give a score of ‘met’ or ‘not met’ for the following: 
 
•  human resource systems - whether you have systems in place that 
allow you to know when a migrant has not turned up for work, or to identify 
when their current leave is coming to an end 
•  convictions and civil penalties - whether or not you have an unspent 
criminal conviction for a relevant offence or have become liable for a civil 
penalty, including those issued to landlords under the ‘Right to rent 
scheme’; Annex 1 of this guidance has more information on this 
•  migrant compliance - whether you are employing any migrants, 
sponsored or not, who are in breach of the conditions of their leave - for 
example, a migrant with leave as a Tier 4 student working more hours 
than they are allowed to 
•  employment - in respect of Tier 2 (General) licences, we will assess 
whether you can offer genuine employment which meets the Tier 2 
(General) criteria on skill level and appropriate rates of pay 
 
Below are 2 examples of circumstances in which we may not be satisfied you 
can offer genuine Tier 2 (General) employment.  
 
 
 
Page 51 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
53,Rating sponsors,
54,What are sponsor ratings?,"9. 
 
9.1  An A-rating is awarded when you are first granted a licence on the basis that 
you have systems in place to be able to meet your sponsor duties. Your 
licence rating appears on the published register of licensed sponsors. We will 
not grant a licence if you are not able to achieve an A-rating. 
 
9.2  After your licence has been granted, if we find evidence that you are unable or 
unwilling to continue to meet your sponsor duties, or we have evidence of 
immigration abuse, we may take action against you.  
 
9.3  Your rating will usually be the same for all the tiers, categories and 
subcategories in which you are registered. In exceptional cases, if we later find 
that you are not meeting your sponsor duties in only one tier on your licence, 
we will downgrade that tier to a B-rating. The ‘Downgrading your licence rating’ 
section has more information. 
 
"
55,Scoring system,"9.4  When deciding the suitability of an application or when we carry out checks 
(including if we visit you) after your licence has been granted, we will use the 
following scoring system when deciding whether to grant your application for a 
licence. 
 
9.5  We give a score of ‘met’ or ‘not met’ for the following: 
 
•  human resource systems - whether you have systems in place that 
allow you to know when a migrant has not turned up for work, or to identify 
when their current leave is coming to an end 
•  convictions and civil penalties - whether or not you have an unspent 
criminal conviction for a relevant offence or have become liable for a civil 
penalty, including those issued to landlords under the ‘Right to rent 
scheme’; Annex 1 of this guidance has more information on this 
•  migrant compliance - whether you are employing any migrants, 
sponsored or not, who are in breach of the conditions of their leave - for 
example, a migrant with leave as a Tier 4 student working more hours 
than they are allowed to 
•  employment - in respect of Tier 2 (General) licences, we will assess 
whether you can offer genuine employment which meets the Tier 2 
(General) criteria on skill level and appropriate rates of pay 
 
Below are 2 examples of circumstances in which we may not be satisfied you 
can offer genuine Tier 2 (General) employment.  
 
 
 
Page 51 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
9.6 
 
 
 
 
Example 1 
You do not currently employ, or have never employed, anyone in a role which 
meets the current Tier 2 requirements. This could be if you are a small retail 
outlet and currently only have people working for you as shop assistants or in 
other low skilled roles. 
Example 2 
You tell us you require or have already sponsored a person in a managerial 
role which appears unnecessary. This could be if you are a small fast food 
outlet and you tell us you need, or have appointed, a full-time business 
development manager, HR manager or publicity manager. 
Note: these examples are not exhaustive. 
If you are chosen for a visit, we will score your suitability to be a licensed 
sponsor as shown below: 
 
•  meets all of the criteria 
•  does not meet one or more of the criteria 
9.7  We will grant your licence if you meet all of the criteria and there are no other 
reasons for refusing your application. 
9.8  We will refuse your application if you do not meet one or more of the criteria. 
 
9.9 
If we visit you after we have granted you a licence, we assess you again 
against the suitability criteria as well as making any other checks we need to 
carry out. If we find that you have not met any or all of your sponsor duties, we 
will take action against you. 
Related content 
Contents 
Page 52 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
 
 
10 Notification of decision 
 
What happens after a decision on my application has been 
made? 
10.  We will write to you to tell you: 
 
•  whether we have approved or refused your application 
•  the reasons for the decision if we have refused your application 
•  if we have approved your application, the maximum number of certificates 
of sponsorship (CoS) you will be allowed to assign, or that we have set 
your allocation of CoS to zero if you are unsure whether or when you may 
need to recruit any migrants in the future 
 
10.1  We send decision letters and return all original documents to the address 
given for the authorising officer on your online sponsor application. We send 
all documents by Royal Mail Signed For delivery. 
 
If my application is refused, can I apply again? 
10.2  There is no right of appeal against the refusal of a licence application. 
However, if you believe that the refusal decision is either: 
•  the result of a caseworker error – for example, if we have incorrectly 
applied the 6-month cooling-off period and you send evidence to us to 
support this  
•  the result of supporting evidence sent as part of your application not being 
considered by us – for example, if we have not considered a specific piece 
of information and you send evidence to show this was received by us 
you can send an ‘Error correction request form’. This form is on the ‘UK visa 
sponsorship for employers’ page on GOV.UK. 
The request must be sent within 14 calendar days from the date of the refusal 
decision letter. We aim to get back to you within 28 working days of the receipt 
of your error correction request form. 
The pre-licence error correction process does not offer a full reconsideration 
of a decision to refuse a licence application. We will not consider any 
additional evidence which was not available at the time of application. 
 
If we establish that a simple caseworker error has occurred, or a piece of 
information sent at the time of application has not been considered, we will 
write to you inviting you to send a new online sponsor licence application with 
the appropriate fee. On receipt of the application, your fee will be refunded. 
Sending a new application is not a guarantee that a licence will be granted. 
If we maintain our original decision to refuse your licence application, we will 
write to tell you. The 6-month sponsor cooling-off period will continue to apply 
from the date of the original refusal decision. A refusal decision will not be 
 
10.3 
Page 53 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
56,Notification of decision,
57,What happens after a decision on my application has been made?,
58,"If my application is refused, can I apply again?","10.2  There is no right of appeal against the refusal of a licence application. 
However, if you believe that the refusal decision is either: 
•  the result of a caseworker error – for example, if we have incorrectly 
applied the 6-month cooling-off period and you send evidence to us to 
support this  
•  the result of supporting evidence sent as part of your application not being 
considered by us – for example, if we have not considered a specific piece 
of information and you send evidence to show this was received by us 
you can send an ‘Error correction request form’. This form is on the ‘UK visa 
sponsorship for employers’ page on GOV.UK. 
The request must be sent within 14 calendar days from the date of the refusal 
decision letter. We aim to get back to you within 28 working days of the receipt 
of your error correction request form. 
The pre-licence error correction process does not offer a full reconsideration 
of a decision to refuse a licence application. We will not consider any 
additional evidence which was not available at the time of application. 
 
If we establish that a simple caseworker error has occurred, or a piece of 
information sent at the time of application has not been considered, we will 
write to you inviting you to send a new online sponsor licence application with 
the appropriate fee. On receipt of the application, your fee will be refunded. 
Sending a new application is not a guarantee that a licence will be granted. 
If we maintain our original decision to refuse your licence application, we will 
write to tell you. The 6-month sponsor cooling-off period will continue to apply 
from the date of the original refusal decision. A refusal decision will not be 
 
10.3 
Page 53 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
reviewed a second time under this process. 
 
"
59,Cooling-off period following decision to refuse a licence,"10.4 
If you have been refused a licence, you should not make another application 
until 6 months after the date of the Home Office decision letter refusing your 
application. 
Similarly, if you withdrew a previous application while we were undertaking 
checks on you which revealed something that was likely to lead to a refusal of 
that application, you should not make another application until 6 months after 
the date of the Home Office letter accepting the withdrawal of your application.  
If you reapply before 6 months has passed from the date of the previous 
refusal or withdrawal, we will refuse your application if the previous refusal (or 
likely refusal had you not withdrawn your application) was because you: 
•  did not meet the requirements to be a sponsor in the category under which 
 
you applied 
•  sent false documents 
•  did not have the processes necessary to comply with your sponsor duties 
•  have, or had, an unspent criminal conviction for a relevant offence – see 
the Glossary and Annex 1 for a definition of ‘relevant offence’ 
•  are legally prohibited from becoming a company director, unless this is 
due to being an undischarged bankrupt – you should note that the 
authorising officer or level 1 user must not be an undischarged bankrupt 
•  had no trading presence in the UK 
If you have been refused because you have previously been issued with a civil 
penalty under section 15 of the Immigration, Asylum and Nationality Act 2006, 
Accession of Croatia (Immigration and Worker Authorisation) Regulations 
2013 or section 23 of the Immigration Act 2014, you should only reapply 12 
months after the date the penalty became payable. Annex 1 of this guidance 
has more information on this. 
If you have been refused because you have previously been issued with a civil 
penalty for one of the ‘charges or penalties’ in Appendix C of the guidance for 
sponsors, apart from employing an illegal worker or authorising occupation of 
premises under a residential tenancy agreement by an adult who is 
disqualified because of their immigration status, you should only reapply when 
5 years have passed since the date the penalty was issued. 
If you have been refused because you previously held a sponsor licence, in 
any tier, and we revoked your licence or, after we had notified you that we are 
taking compliance action against you, you surrendered your licence, you must 
not reapply until 12 months have passed since the date we notified you of the 
revocation or approval of your licence surrender. 
 
 
10.5 
10.6 
10.7 
 
 
 
 
Page 54 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
 
 
10.8  You may reapply at any time if we only refused your application because 
either:  
•  it was sent by a representative 
•  you did not provide documents or information we requested by a specific 
deadline for reasons outside your control 
 
10.9  When you reapply, you must ensure that the reasons we refused you no 
longer apply. As part of the application process, you may receive a visit from a 
UKVI compliance officer, who will undertake relevant checks to establish that 
you have the necessary systems and procedures in place to meet your 
sponsorship obligations. If we are not satisfied that you can fully meet your 
sponsorship obligations, we are likely to refuse your application. 
 
"
60,Sponsor licence number,"10.10  If your application for a sponsor licence is successful, you will receive a 
sponsor licence number. You must quote this number in all communications 
with us. 
 
"
61,Additional services," 
"
62,Premium customer service,"10.11  The premium customer service offers an enhanced level of support for A-rated 
sponsors. A premium customer has their own dedicated account manager who 
will provide tailored advice and support with all their immigration needs.  
The ‘Premium customer service for employers’ page on GOV.UK has full 
guidance about the service for employers, explains the benefits, costs, 
eligibility and how to apply. 
If you successfully apply for premium customer service, this will be indicated 
on our public ‘Register of sponsors’ where your sponsor rating will show as A 
(Premium) for large employers or A (SME+) for small and medium enterprises. 
 
"
63,Priority change of circumstances service,"10.12  The priority change of circumstances service offers a faster consideration of 
sponsor change of circumstances requests for A-rated sponsors. The ‘Priority 
change of circumstances service’ page on GOV.UK has full guidance about 
the service for sponsors, costs, eligibility and how to apply. 
Related content 
Contents 
Page 55 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
 
11 Sponsorship management system 
 
What is the sponsorship management system? 
11.  Once licensed, you will be given access to use the sponsorship management 
system (SMS). This online function lets you carry out day to day activities and 
report any changes to us, such as a change of address. You will also use it to 
assign certificates of sponsorship (CoS) to migrants who wish to come to, or 
stay in, the UK to work, and to fulfil your reporting duties for your sponsored 
migrants. The ‘Reporting duties’ and ‘Certificates of sponsorship’ sections 
have more information. 
 
11.1  We call a person who has access to the SMS a ‘user’. The SMS allows users 
2 levels of access – ‘level 1’ and ‘level 2’. The level decides the type of access 
(permissions) the user has to the system and the functions they can perform, 
the ‘Level 1 user’ and ‘Level 2 user’ sections have more information. 
 
11.2  Your SMS account is also a source of information about your sponsor licence. 
You can see details on how many SMS users you have appointed and who 
they are, the date your licence will expire, the number of CoS left to assign, 
and when your allocation of CoS will expire. Your SMS account also has a 
‘message board’ where we post useful messages. 
 
11.3  You need to regularly access your SMS account to review and update your 
licence details and to keep up to date with the latest news, messages and any 
changes that may be coming up. We recommend that your level 1 user 
accesses your account at least once a month. 
 
11.4  When we grant your sponsor licence, we set up your SMS account and send 
the level 1 user’s ‘user name’ to your authorising officer by post. We send the 
level 1 user their password by email. Once your level 1 user has successfully 
accessed your SMS account, they can perform a number of functions. The 
‘Level 1 user’ section has more information on this. 
 
11.5  SMS users must never give their password to anyone else. If they do, we may 
revoke your licence. 
You can use the SMS on GOV.UK to: 
•  manage or renew your organisation’s licence or services 
•  create and assign certificates of sponsorship to prospective employees for 
Tiers 2 and/or 5  
•  report changes of circumstances of your sponsored employees or 
students, including withdrawal of sponsorship 
 
You can also find some helpful guides under ‘User manuals: sponsorship 
management system (SMS)’ on the ‘Sponsorship: guidance for employers and 
educators’ page on GOV.UK. 
Page 56 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
64,Sponsorship management system,
65,What is the sponsorship management system?,"11.  Once licensed, you will be given access to use the sponsorship management 
system (SMS). This online function lets you carry out day to day activities and 
report any changes to us, such as a change of address. You will also use it to 
assign certificates of sponsorship (CoS) to migrants who wish to come to, or 
stay in, the UK to work, and to fulfil your reporting duties for your sponsored 
migrants. The ‘Reporting duties’ and ‘Certificates of sponsorship’ sections 
have more information. 
 
11.1  We call a person who has access to the SMS a ‘user’. The SMS allows users 
2 levels of access – ‘level 1’ and ‘level 2’. The level decides the type of access 
(permissions) the user has to the system and the functions they can perform, 
the ‘Level 1 user’ and ‘Level 2 user’ sections have more information. 
 
11.2  Your SMS account is also a source of information about your sponsor licence. 
You can see details on how many SMS users you have appointed and who 
they are, the date your licence will expire, the number of CoS left to assign, 
and when your allocation of CoS will expire. Your SMS account also has a 
‘message board’ where we post useful messages. 
 
11.3  You need to regularly access your SMS account to review and update your 
licence details and to keep up to date with the latest news, messages and any 
changes that may be coming up. We recommend that your level 1 user 
accesses your account at least once a month. 
 
11.4  When we grant your sponsor licence, we set up your SMS account and send 
the level 1 user’s ‘user name’ to your authorising officer by post. We send the 
level 1 user their password by email. Once your level 1 user has successfully 
accessed your SMS account, they can perform a number of functions. The 
‘Level 1 user’ section has more information on this. 
 
11.5  SMS users must never give their password to anyone else. If they do, we may 
revoke your licence. 
You can use the SMS on GOV.UK to: 
•  manage or renew your organisation’s licence or services 
•  create and assign certificates of sponsorship to prospective employees for 
Tiers 2 and/or 5  
•  report changes of circumstances of your sponsored employees or 
students, including withdrawal of sponsorship 
 
You can also find some helpful guides under ‘User manuals: sponsorship 
management system (SMS)’ on the ‘Sponsorship: guidance for employers and 
educators’ page on GOV.UK. 
Page 56 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
 
11.6  You are responsible for your actions and the actions of a representative or 
employee who assigns CoS on your behalf. Any non-compliance with the rules 
on assigning CoS will result in us taking action against you. If we find you are 
employing an illegal migrant worker because your recruitment practices are 
negligent, we may issue you with a civil penalty and refer your case for 
prosecution. 
You must have at least one level 1 user who must be your employee in place 
throughout the life of your licence. If we find you have no level 1 user in place 
at all, this means you cannot fulfil your sponsor duties and we will take action 
against you. We will also take action against you if you have no SMS users in 
place at all. 
 
"
